lei_alias,ald_alias,score,lei
cityofmalmo,cityofmaldenmo,0.9571428571428571,21380097XHCQVD8TQ687
everohenicesro,everohenice,0.9571428571428571,894500Y5XTWFA2CN7Z72
energiaaztecaxsade cv,energiaaztecaxsderlde cv,0.9571428571428571,894500ICP1JKAEH46Q39
fvedobruskasro,fvedobruska,0.9571428571428571,315700NQW106CHFD8349
fveknezmostsro,fveknezmost,0.9571428571428571,5299000TLE6KKSYRKV16
kopidlnofvesro,kopidlnofve,0.9571428571428571,3157006IAVSO01FPLG03
lcontactcejsro,lcontactcej,0.9571428571428571,315700RQ27AD9TPFP055
lekelapower bv,lekelapower,0.9571428571428571,254900ZBCC5IVXR3PF35
mevraenergysro,mevraenergy,0.9571428571428571,31570007K83H5E11U208
mukeshgupta,mukeshguptagrp,0.9571428571428571,984500BBDP964BEB6U34
malarenergi ab,malarenergi,0.9571428571428571,549300VFV3SGMGWVDS59
oknostylgrpsro,oknostylgrp,0.9571428571428571,98450099D6F4BF3F9T24
pcenergy llc,picoenergy llc,0.9571428571428571,549300LFDXEUGYKY9W90
stampenergysro,stampenergy,0.9571428571428571,31570010000000108929
wisoplzenczvos,wisoplzencz,0.9571428571428571,315700S3TF79ALV82F01
tatapowersolarsystems ltd,tatapowersolarsystemsltdtprel,0.9575172413793103,3358006244JXLKQ64V68
summitmaterials llc,summitmaterials inc,0.9578947368421052,549300C97P3BW8QROE16
rosehillsolar llc,roswellsolar llc,0.9579656862745098,549300E5CCY1Y2M30T54
greenbackerrenewableenergyco llc,greenbackerrenewableenergy corp,0.9580019466073414,549300U2BROVU873L033
desimpactodepurinesturegano sa,desimpactodepurinesguardo sa,0.958042328042328,959800G1QGTF046JHY45
zallhldgss ltd,zellahldgss ltd,0.9585714285714285,213800N5K9FDJTALRY51
iberdrolarenovablesandalucia sa,iberdrolarenovablesdeandlauciasau,0.9586999022482893,959800AN4NLNBPFJE162
desarrolloseolicoselaguila sa,desarrolloseolicosdegalicia sa,0.9587994891443167,959800RRLHW7PFHVWP16
swberzeugungagcokg,swberzeugunggmbhcokg,0.9588888888888888,52990016DDT7LH86SO67
aftaabsolarprivate ltd,aftaabsolarprivateltdaspl,0.9589090909090908,335800D2VI67QWHCL303
losvientoswindpoweria llc,losvientoswindonea llc,0.9589090909090908,549300FYFMGLW8OJTL24
losvientoswindpowerib llc,losvientoswindoneb llc,0.9589090909090908,549300MWLDVJMRRUZZ13
libakhldgs as,limakhldgs as,0.9589743589743589,549300H2KLXG012OHQ11
milfordpower llc,milfordpowerco llc,0.9590277777777777,5493003CJRERTFEJNM54
kaptandemircelikendustrisiveticanonimsti,kaptandemircelikendustrisivetic as,0.9591176470588235,78900013HKYHSFJHP942
medcemmadencilikveyapimalzemelerisanveticanonimsti,medcemmadencilikveyapimalzemelerisantic as,0.9592380952380952,78900058HDX0KMI4DH21
marinecurrentturbines ltd,marinecurrentturbinesmct,0.9593333333333334,529900N895D807QRQ570
parqueeolicolosjaralessl,parqueeolicoloscantalessl,0.9593333333333334,95980020140005911551
californiainstituteoftechnology,californiainstitutetechnology,0.9595105672969966,549300CITPNHOTVPHC04
shootingstarproperties llc,shootingstarpowerprts llc,0.95994871794871794,254900B6M6NW5LVQRO23
acca ltd,accacc ltd,0.96,549300AAKF3TWEH1W636
abengoasolar sa,abengoasolar,0.96,5493003LNWFGBFHMZ423
baheliosspolsro,baheliosspol,0.96,315700N58BPMMQQ6XJ69
barfootsofbotley ltd,barfootsofbotley,0.96,213800ESIRLBP12N2105
beam llc,beamus llc,0.96,5493003157CMZFEIBZ10
blackoakwindprts llc,blackoakwind llc,0.96,549300V85IYBIRWIX705
capitalpower lp,capitalpower,0.96,549300L33E7L9J037724
cityofberlin,cityofoberlinks,0.96,549300XFQ1TW0L0MCJ03
cityofberlin,cityofoberlinoh,0.96,549300XFQ1TW0L0MCJ03
doublehnurseries ltd,doublehnurseries,0.96,213800SXZ5M2YXYO3X79
dynegymidwestgen llc,dynegymidwestgen inc,0.96,HXKO75SOOZ4EHTG5PV61
danskammerenergy llc,danskammerenergy,0.96,5493003ZPNPGSCNLJ765
deutschebank sa,deutschebank,0.96,529900J2KCFIPEYJIE34
fvehrabeticesro,fvehrabetice,0.96,3157006TZDTAEE5BTB23
fvejevisovkasro,fvejevisovka,0.96,3157006SVSDT9JFTEP06
fotovoltaikasro,fotovoltaika,0.96,3157000AI0CABK6S5T21
islandgreenpower ltd,islandgreenpower,0.96,549300Q4LM74IFG1YY48
kertakenergysro,kertakenergy,0.96,315700AVGYEVXDCQRE56
kjsahluwalia,kjsahluwaliagrp,0.96,335800JQMEAWMH1B1J29
norvi sa,norvind sa,0.96,9598001DVLZ35AF1CR47
nationalgridusa,nationalgrid,0.96,MOM4570XTJ5YYX7JKH83
orientor ltd,orientpower ltd,0.96,213800KD81UDAXWO3R09
paulinenergosro,paulinenergo,0.96,315700VKCMCO8CJKV522
pontusenergysro,pontusenergy,0.96,315700D9JVQQN83VT549
podolienergysro,podolienergy,0.96,315700C1X9AXHP5UMC03
prospect,prospector,0.96,213800QFAD496263CB83
sunmetalscorppty ltd,sunmetalscorppty,0.96,25490065BBTVEKE32X59
solarjarosovsro,solarjarosov,0.96,315700O3CYP5TZENUS18
solarcentrumsro,solarcentrum,0.96,315700L5JH78HHZMRG77
share corp,sharp corp,0.96,5493004MFW8HJMMBB163
skhldgs as,skhldgss,0.96,8945001Y1VB3LM1XN332
severntrentwater ltd,severntrentwater,0.96,213800YRZJSBNCS82J77
tata ltd,tataco ltd,0.96,549300J0KUPWOKWZVK60
unitedenergy as,unitedenergy,0.96,31570010000000030165
viamo as,viamont as,0.96,097900BJLT0000217411
weyerhaeuser co,weyerhaeuser,0.96,08IRJODWFYBI7QWRGS31
cropenergiesbioethanol gmbh,cropenergiesbioethanolgmbhzeitz,0.9603345280764636,529900ZAS3G1BUPUMN32
centralhudsongaselectric corp,centralhudsongaselec corp,0.9604137931034483,TP9WEQL6JOF6GP647G47
godawarigreenenergy ltd,godawarigreenenergyltdggel,0.9605351170568561,335800U3ZUGT6K6E7Z74
pennantwaltersmaesgwyn ltd,pennantwaltersmaesx ltd,0.9605351170568561,213800JFHKS55RSIKG13
koreaeastwestpowerco ltd,koreaeastwestpower co,0.9607142857142857,549300VDRGYGX9NBTB52
solitaireenergies ltd,solitaireenergiespvt ltd,0.9607142857142857,335800RL8W9TU4WHD656
blackhillspower inc,blackhillspowerincdba,0.9609022556390977,549300WSKCZZU2LB2X28
saudielectricity co,saudielectricitycosec,0.9609022556390977,549300FXO4ZXUIAXGP41
toplofikatciapernik,toplofikaciapernikead,0.9609022556390977,8945003KVEXTCOQ25U83
lakecountryal llc,lakecountysolar llc,0.9613003095975232,549300FMMA7LTL3U5O13
universityofnotredamedulac,universityofnotredame,0.9615384615384615,XV74408A6JGDG5126L34
gujaratindustriespowerco ltd,gujaratindustriespowercoltdgipcl,0.9616071428571429,335800CV3K9PSMR28954
sierradeselvasl,sierradeselva sa,0.9616666666666667,95980020140005726475
windsorsolar lp,windsorsolar llc,0.9616666666666667,549300W5R1RU0REDCX35
buffalocenter llc,buffalocenterwind llc,0.9619047619047618,549300R107V1F29GRD40
chinapowerintldev ltd,chinapowerintldev,0.9619047619047618,529900MDOW3M0UV2ST42
conergywestsussex ltd,conergywestsussex,0.9619047619047618,2138005GAD2C638Q3Q98
graniteshorepower llc,graniteshorepower,0.9619047619047618,984500F1FB673FA3B132
mscchisagonulltwo llc,mscchisagonullone llc,0.9619047619047618,549300WV47QUNI4WBU29
northumbrianwater ltd,northumbrianwater,0.9619047619047618,213800PWPM9HZIEEO670
renewablepowergen llc,renewablepowergen ltd,0.9619047619047618,549300Z83WE8TE6O2Y45
reminvests llc,reainvests llc,0.9619047619047618,54930004UIQZ7RAFCK94
rockfordsolarprts llc,rockfordsolarprts,0.9619047619047618,254900V98G9LBYZHVA28
stfrancishospital inc,stfrancishospital,0.9619047619047618,549300WQRU63PQ7XAH83
tilburygreenpower ltd,tilburygreenpower,0.9619047619047618,213800EO3GDRRH52L178
ratchaustraliacorppty ltd,ratchaustraliacorp ltd,0.9623636363636363,549300I8H73KQYHJXP77
ibmaustralia ltd,ipmaustralia ltd,0.9624999999999999,D24TJLP0KV2FUZK44C95
arcelormittal,arcelormittal sa,0.9625,2EULGUTUI56JI9SAL165
ascendperformancematerialsfrance,ascendperformancematerials,0.9625,9695009C6F8SQTS9CI28
budskasolarnisro,budskasolarni,0.9625,315700J8TB9EHIQ4YT49
fvetuchlovicesro,fvetuchlovice,0.9625,315700SGCUSEVY4DFO42
genesisenergy lp,genesisenergy,0.9625,549300VJ5D6MDK138782
kerberospowersro,kerberospower,0.9625,315700SOU1J8KLG6Q149
masssolarone llc,masssolar llc,0.9625,549300ZXUITOTP7OCP35
solarparkgama as,solarparkgama,0.9625,315700BMH6EMO41BR245
solarplanickasro,solarplanicka,0.9625,3157001XZ5K46F723E79
solarcernilovsro,solarcernilov,0.9625,315700GM0IDXLBOQ0140
sovereignexports,sovereignprts,0.9625,3358003BS5O9AZYP5761
threepsectionsro,threepsection,0.9625,31570010000000095834
aluminumcorpofchinaltdchalco,aluminumcorpofchinachalco,0.9625714285714285,529900TKZUWQLIQN6T48
dukeenergyprogress llc,dukeenergyprogressnc,0.9627272727272727,0NIFZ782LS46WOC9QK20
ecountservices corp,ecoservices corp,0.9631578947368421,5493003CRJ89RG4LKL31
einsenergieinsachsengmbhcokg,einsenergieinsachsen gmbh,0.9634285714285714,529900RQ6JKBPSB6EC44
gujaratmineraldevcorp ltd,gujaratmineraldevcorpltdgmdc,0.9634285714285714,335800B8OP5L7DH9VD35
bluearthrenewables inc,bluearthrenewables,0.9636363636363636,5493001LCP08VYRMSS63
brightsourceenergy inc,brightsourceenergy,0.9636363636363636,549300WZNWQVZJ64Q034
communitywindpower ltd,communitywindpower,0.9636363636363636,549300JI1USBPKUWCK74
chalcroftsolarpark ltd,chalcroftsolarpark,0.9636363636363636,213800TKGIIOY65TUI92
cityofburlingtonkansas,cityofburlingtonks,0.9636363636363636,549300TTCJ3UTB6QDT32
cusolva llc,cusolar llc,0.9636363636363636,549300V2RWRPGUKUN762
ecochem spa,ecocem sa,0.9636363636363636,815600B9B1DAE5AC7F83
enelgreenpowerchile sa,enelgreenpowerchileypa,0.9636363636363636,549300OLL5666RRXU295
evergymissouriwest inc,evergymissouriwest,0.9636363636363636,EZIFUDC0VSUS6T6LCG85
evergreenpackaging llc,evergreenpackaging inc,0.9636363636363636,5493001JCJK2PWLM8Z21
foresightsolarfund ltd,foresightsolarfund,0.9636363636363636,213800VO4O83JVSSOX33
